Tag,Text,Href,Src,Value,Date-Time
a,Women's Fashion,javascript:void(0);,,,
p,Ethnic Wear,,,,
a,Ethnic Wear,https://www.snapdeal.com/products/women-ethnicwear,,,
p,Sarees,,,,
a,Sarees,https://www.snapdeal.com/products/women-apparel-sarees,,,
p,Kurtas & Kurtis,,,,
a,Kurtas & Kurtis,https://www.snapdeal.com/products/women-apparel-kurtis?sort=plrty,,,
p,Lehengas,,,,
a,Lehengas,https://www.snapdeal.com/products/women-apparel-lehenga,,,
p,Salwar Suits,,,,
a,Salwar Suits,https://www.snapdeal.com/products/women-apparel-suits?sort=plrty,,,
p,Salwars & Leggings,,,,
a,Salwars & Leggings,https://www.snapdeal.com/products/women-apparel-salwars-churidars?sort=plrty,,,
p,Blouses & Petticoats,,,,
a,Blouses & Petticoats,https://www.snapdeal.com/products/women-ethnicwear-sarees-essential?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/women-ethnicwear?sort=plrty,,,
p,Footwear,,,,
a,Footwear,https://www.snapdeal.com/products/womens-footwear,,,
p,Heels,,,,
a,Heels,https://www.snapdeal.com/products/womens-footwear-heeled-slipon-pump,,,
p,Flats & Sandals,,,,
a,Flats & Sandals,https://www.snapdeal.com/products/womens-footwear-sandal,,,
p,Slippers & Flip Flops,,,,
a,Slippers & Flip Flops,https://www.snapdeal.com/products/womens-footwear-slippers-floaters,,,
p,Ballerinas,,,,
a,Ballerinas,https://www.snapdeal.com/products/womens-footwear-ballerina?sort=plrty,,,
p,Casual Shoes,,,,
a,Casual Shoes,https://www.snapdeal.com/products/womens-footwear-casual-shoes?,,,
p,Sports Shoes,,,,
a,Sports Shoes,https://www.snapdeal.com/products/womens-footwear-sports-shoes?,,,
p,Ethnic Footwear,,,,
a,Ethnic Footwear,https://www.snapdeal.com/products/womens-footwear-ethnic?sort=plrty,,,
p,Floater Sandal,,,,
a,Floater Sandal,https://www.snapdeal.com/products/womens-footwear-floater-sandal?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/womens-footwear?sort=plrty,,,
p,Perfumes & Fragrances,,,,
a,Perfumes & Fragrances,https://www.snapdeal.com/products/fragrances-women?sort=plrty,,,
p,Perfumes,,,,
a,Perfumes,https://www.snapdeal.com/products/perfumes-women?sort=plrty,,,
p,Deodorants,,,,
a,Deodorants,https://www.snapdeal.com/products/deodorants-women?sort=plrty,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,Western Wear,,,,
a,Western Wear,https://www.snapdeal.com/products/women-apparel,,,
p,Dresses,,,,
a,Dresses,https://www.snapdeal.com/products/dresses-gowns-jumpsuits?sort=plrty,,,
p,Tops & Tunics,,,,
a,Tops & Tunics,https://www.snapdeal.com/products/women-apparel-tops-tunics,,,
p,T-Shirts,,,,
a,T-Shirts,https://www.snapdeal.com/products/women-apparel-tees?sort=plrty,,,
p,Shirts,,,,
a,Shirts,https://www.snapdeal.com/products/women-apparel-shirts-blouses?sort=plrty,,,
p,Denims & Trousers,,,,
a,Denims & Trousers,https://www.snapdeal.com/products/women-apparel-trousers-denims?sort=plrty,,,
p,Pants & Palazzos,,,,
a,Pants & Palazzos,https://www.snapdeal.com/products/women-apparel-pants-palazzos?sort=plrty,,,
p,Innerwear,,,,
a,Innerwear,https://www.snapdeal.com/products/women-apparel-innerwear?sort=plrty,,,
p,Nightwear,,,,
a,Nightwear,https://www.snapdeal.com/products/women-apparel-sleep-loungewear?sort=plrty,,,
p,Sportswear,,,,
a,Sportswear,https://www.snapdeal.com/products/women-apparel-sportswear?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/women-apparel?sort=plrty,,,
p,Winter Wear,,,,
a,Winter Wear,https://www.snapdeal.com/products/women-apparel-winterwear?sort=plrty,,,
p,Outerwear & Jackets,,,,
a,Outerwear & Jackets,https://www.snapdeal.com/products/women-apparel-outerwear-jackets?sort=plrty,,,
p,Sweatshirts,,,,
